Record Type,Fuel Type,County,Registration Class
VEH,ELECTRIC,SULLIVAN,255
VEH,FLEX,SULLIVAN,94
VEH,GAS,SULLIVAN,61931
VEH,NONE,SULLIVAN,323
VEH,OTHER,SULLIVAN,51
VEH,PROPANE,SULLIVAN,3
BOAT,DIESEL,TIOGA,3
BOAT,ELECTRIC,TIOGA,66
BOAT,GAS,TIOGA,1656
BOAT,NONE,TIOGA,20
BOAT,OTHER,TIOGA,2
TRL,NONE,TIOGA,6199
VEH,COMP N/G,TIOGA,2
VEH,DIESEL,TIOGA,2762
VEH,ELECTRIC,TIOGA,83
VEH,FLEX,TIOGA,59
VEH,GAS,TIOGA,39413
VEH,NONE,TIOGA,104
VEH,OTHER,TIOGA,1
VEH,PROPANE,TIOGA,1
BOAT,DIESEL,TOMPKINS,66
BOAT,ELECTRIC,TOMPKINS,74
BOAT,FLEX,TOMPKINS,3
BOAT,GAS,TOMPKINS,2510
BOAT,NONE,TOMPKINS,31
BOAT,OTHER,TOMPKINS,8
BOAT,PROPANE,TOMPKINS,1
TRL,NONE,TOMPKINS,6543
VEH,DIESEL,TOMPKINS,2683
VEH,ELECTRIC,TOMPKINS,805
VEH,FLEX,TOMPKINS,64
VEH,GAS,TOMPKINS,60369
VEH,NONE,TOMPKINS,235
VEH,OTHER,TOMPKINS,5
VEH,PROPANE,TOMPKINS,23
BOAT,DIESEL,ULSTER,116
BOAT,ELECTRIC,ULSTER,204
BOAT,FLEX,ULSTER,4
BOAT,GAS,ULSTER,3589
BOAT,NONE,ULSTER,56
BOAT,OTHER,ULSTER,33
TRL,GAS,ULSTER,1
TRL,NONE,ULSTER,13908
VEH,COMP N/G,ULSTER,6
VEH,DIESEL,ULSTER,8578
VEH,ELECTRIC,ULSTER,1288
VEH,FLEX,ULSTER,148
VEH,GAS,ULSTER,148613
VEH,NONE,ULSTER,721
VEH,OTHER,ULSTER,36
VEH,PROPANE,ULSTER,30
BOAT,COMP N/G,WARREN,1
BOAT,DIESEL,WARREN,31
BOAT,ELECTRIC,WARREN,156
BOAT,FLEX,WARREN,4
BOAT,GAS,WARREN,6069
BOAT,NONE,WARREN,40
BOAT,OTHER,WARREN,17
BOAT,PROPANE,WARREN,1
TRL,NONE,WARREN,8188
VEH,DIESEL,WARREN,2950
VEH,ELECTRIC,WARREN,275
VEH,FLEX,WARREN,80
VEH,GAS,WARREN,58123
VEH,NONE,WARREN,191
VEH,OTHER,WARREN,1
BOAT,COMP N/G,WASHINGTON,1
BOAT,DIESEL,WASHINGTON,11
BOAT,ELECTRIC,WASHINGTON,110
BOAT,FLEX,WASHINGTON,1
BOAT,GAS,WASHINGTON,2396
BOAT,NONE,WASHINGTON,18
BOAT,OTHER,WASHINGTON,9
TRL,NONE,WASHINGTON,7845
VEH,DIESEL,WASHINGTON,3745
VEH,ELECTRIC,WASHINGTON,107
VEH,FLEX,WASHINGTON,82
VEH,GAS,WASHINGTON,51450
VEH,NONE,WASHINGTON,186
VEH,OTHER,WASHINGTON,2
VEH,PROPANE,WASHINGTON,9
BOAT,DIESEL,WAYNE,68
BOAT,ELECTRIC,WAYNE,69
BOAT,FLEX,WAYNE,5
BOAT,GAS,WAYNE,4954
BOAT,NONE,WAYNE,25
BOAT,OTHER,WAYNE,10
TRL,GAS,WAYNE,1
TRL,NONE,WAYNE,14632
VEH,COMP N/G,WAYNE,4
VEH,DIESEL,WAYNE,4855
VEH,ELECTRIC,WAYNE,244
VEH,FLEX,WAYNE,261
VEH,GAS,WAYNE,78455
VEH,NONE,WAYNE,289
VEH,OTHER,WAYNE,1
VEH,PROPANE,WAYNE,5
BOAT,COMP N/G,WESTCHESTER,1
BOAT,DIESEL,WESTCHESTER,742
BOAT,ELECTRIC,WESTCHESTER,172
BOAT,FLEX,WESTCHESTER,12
BOAT,GAS,WESTCHESTER,7872
BOAT,NONE,WESTCHESTER,90
BOAT,OTHER,WESTCHESTER,19
BOAT,PROPANE,WESTCHESTER,2
TRL,GAS,WESTCHESTER,1
TRL,NONE,WESTCHESTER,10232
VEH,COMP N/G,WESTCHESTER,25
VEH,DIESEL,WESTCHESTER,20852
VEH,ELECTRIC,WESTCHESTER,10858
VEH,FLEX,WESTCHESTER,435
VEH,GAS,WESTCHESTER,651702
VEH,NONE,WESTCHESTER,1128
VEH,OTHER,WESTCHESTER,61
VEH,PROPANE,WESTCHESTER,14
BOAT,DIESEL,WYOMING,6
BOAT,ELECTRIC,WYOMING,29
BOAT,GAS,WYOMING,1327
BOAT,NONE,WYOMING,6
BOAT,OTHER,WYOMING,3
TRL,NONE,WYOMING,6550
VEH,COMP N/G,WYOMING,2
VEH,DIESEL,WYOMING,3353
VEH,ELECTRIC,WYOMING,38
VEH,FLEX,WYOMING,124
VEH,GAS,WYOMING,31878
VEH,NONE,WYOMING,242
BOAT,DIESEL,YATES,9
BOAT,ELECTRIC,YATES,19
BOAT,FLEX,YATES,1
BOAT,GAS,YATES,2118
BOAT,NONE,YATES,12
BOAT,OTHER,YATES,7
TRL,NONE,YATES,4266
VEH,COMP N/G,YATES,1
VEH,DIESEL,YATES,1522
VEH,ELECTRIC,YATES,53
VEH,FLEX,YATES,36
VEH,GAS,YATES,18019
VEH,NONE,YATES,76
VEH,OTHER,YATES,1
VEH,PROPANE,YATES,5
